title_x,author(s)_x,average_rating_x,isbn13,language_code_x,num_pages_x,ratings_count_x,text_reviews_count_x,publication_date_x,publisher_x,title_y,author(s)_y,average_rating_y,language_code_y,num_pages_y,ratings_count_y,text_reviews_count_y,publication_date_y,publisher_y,genres
after many a summer dies the swan,aldous huxley,3.75,9781566630184,en-US,368,2056,149,1/1/1993,Ivan R. Dee Publisher,After Many a Summer Dies the Swan,Aldous Huxley,3.75,en-US,368.0,2056.0,149.0,1/1/1993,Ivan R. Dee Publisher,"['fiction', 'english literature']"
the flame trees of thika: memories of an african childhood,elspeth huxley,4.12,9780141183787,en-GB,281,4773,217,2/1/2000,Penguin Classics,The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,4.12,en-GB,281.0,4773.0,217.0,2/1/2000,Penguin Classics,"['20th century', 'biography', 'history']"
the devil wears prada (the devil wears prada  #1),lauren weisberger,3.74,9780307275554,eng,432,744569,7247,5/30/2006,Anchor Books,The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.74,eng,432.0,744569.0,7247.0,5/30/2006,Anchor Books,['fiction']
arundhati roy's the god of small things: a reader's guide,julie mullaney,4.01,9780826453273,en-GB,96,309,19,3/30/2002,Bloomsbury Academic,Arundhati Roy's The God of Small Things: A Reader's Guide,Julie Mullaney,4.01,en-GB,96.0,309.0,19.0,3/30/2002,Bloomsbury Academic,['literature']
a separate peace,john knowles/david levithan,3.57,9780743253970,eng,208,175779,6261,9/30/2003,Scribner,A Separate Peace,John Knowles/David Levithan,3.57,eng,208.0,175779.0,6261.0,9/30/2003,Scribner,"['fiction', 'death']"
black and blue,anna quindlen,3.88,9780385333139,eng,288,75494,1386,8/25/2010,Delta Publishing,Black and Blue,Anna Quindlen,3.88,eng,288.0,75494.0,1386.0,8/25/2010,Delta Publishing,[]
a virtuous woman,kaye gibbons,3.69,9780375703065,eng,165,23170,587,11/5/1997,Vintage,A Virtuous Woman,Kaye Gibbons,3.69,eng,165.0,23170.0,587.0,11/5/1997,Vintage,"['marriage', 'fiction']"
here on earth,alice hoffman,3.69,9780425169698,eng,336,43028,1472,7/1/1999,Berkley,Here on Earth,Alice Hoffman,3.69,eng,336.0,43028.0,1472.0,7/1/1999,Berkley,['fiction']
the heart of a woman,maya angelou,4.2,9780375500725,eng,288,17966,437,5/17/1997,Random House,The Heart of a Woman,Maya Angelou,4.2,eng,288.0,17966.0,437.0,5/17/1997,Random House,"['biography', 'nonfiction']"
the deep end of the ocean (cappadora family  #1),jacquelyn mitchard,3.87,9780140286274,eng,464,112856,1028,10/1/1999,Penguin Books,The Deep End of the Ocean (Cappadora Family  #1),Jacquelyn Mitchard,3.87,eng,464.0,112856.0,1028.0,10/1/1999,Penguin Books,['fiction']
cane river,lalita tademy,4.06,9780446678452,eng,522,42695,1845,4/1/2002,Grand Central Publishing,Cane River,Lalita Tademy,4.06,eng,522.0,42695.0,1845.0,4/1/2002,Grand Central Publishing,['fiction']
where the heart is,billie letts,4.02,9780446672214,eng,376,227716,3407,6/1/1998,Grand Central Publishing,Where the Heart Is,Billie Letts,4.02,eng,376.0,227716.0,3407.0,6/1/1998,Grand Central Publishing,['fiction']
oprah winfrey,katherine e. krohn,3.79,9780822550006,eng,128,38,5,1/1/2002,Lerner Publications,Oprah Winfrey,Katherine E. Krohn,3.79,eng,128.0,38.0,5.0,1/1/2002,Lerner Publications,[]
drowning ruth,christina schwarz,3.74,9780345439109,eng,368,74161,2159,7/31/2001,Ballantine Books,Drowning Ruth,Christina Schwarz,3.74,eng,368.0,74161.0,2159.0,7/31/2001,Ballantine Books,[]
fall on your knees,ann-marie macdonald,3.96,9780743466523,eng,672,55988,2434,10/29/2002,Pocket Books,Fall on Your Knees,Ann-Marie MacDonald,3.96,eng,672.0,55988.0,2434.0,10/29/2002,Pocket Books,"['fiction', 'family']"
what looks like crazy on an ordinary day (idlewild  #1),pearl cleage,3.73,9780380794874,eng,244,19366,645,11/1/1998,Harper Perennial,What Looks Like Crazy on an Ordinary Day (Idlewild  #1),Pearl Cleage,3.73,eng,244.0,19366.0,645.0,11/1/1998,Harper Perennial,"['fiction', 'nonfiction']"
while i was gone,sue miller,3.69,9780345443281,eng,304,56320,1185,5/12/2000,Ballantine Books,While I Was Gone,Sue Miller,3.69,eng,304.0,56320.0,1185.0,5/12/2000,Ballantine Books,['fiction']
mother of pearl,melinda haynes,3.69,9780671774677,eng,465,19073,427,6/1/2000,Washington Square Press,Mother of Pearl,Melinda Haynes,3.69,eng,465.0,19073.0,427.0,6/1/2000,Washington Square Press,['fiction']
breath  eyes  memory,edwidge danticat,3.88,9780375705045,eng,234,25200,1229,5/18/1998,Vintage,Breath  Eyes  Memory,Edwidge Danticat,3.88,eng,234.0,25200.0,1229.0,5/18/1998,Vintage,"['fiction', 'travel']"
the book of ruth,jane hamilton,3.85,9780385265706,en-US,328,63595,1222,12/1/1989,Anchor Books,The Book of Ruth,Jane Hamilton,3.85,en-US,328.0,63595.0,1222.0,12/1/1989,Anchor Books,"['fiction', 'audiobook']"
open house,elizabeth berg,3.7,9780345435163,eng,272,54119,1629,5/1/2001,Ballantine Books,Open House,Elizabeth Berg,3.7,eng,272.0,54119.0,1629.0,5/1/2001,Ballantine Books,[]
the pilot's wife,anita shreve,3.52,9780316601955,eng,304,78714,3860,3/30/1999,Back Bay Books,The Pilot's Wife,Anita Shreve,3.52,eng,304.0,78714.0,3860.0,3/30/1999,Back Bay Books,['fiction']
tara road,maeve binchy,3.9,9780440235590,eng,648,66629,1712,7/18/2000,Dell,Tara Road,Maeve Binchy,3.9,eng,648.0,66629.0,1712.0,7/18/2000,Dell,['fiction']
a lesson before dying,ernest j. gaines,3.95,9780375702709,eng,256,47143,2998,9/28/1997,Vintage,A Lesson Before Dying,Ernest J. Gaines,3.95,eng,256.0,47143.0,2998.0,9/28/1997,Vintage,['fiction']
paradise,toni morrison,3.8,9780452280397,eng,318,19927,812,4/1/1999,Plume (Penguin Books Ltd),Paradise,Toni Morrison,3.8,eng,318.0,19927.0,812.0,4/1/1999,Plume (Penguin Books Ltd),"['fiction', 'literature']"
the treasure hunt: a little bill book,bill cosby/varnette p. honeywood,3.34,9780590956185,eng,40,364,18,9/1/1997,Cartwheel,The Treasure Hunt: A Little Bill Book,Bill Cosby/Varnette P. Honeywood,3.34,eng,40.0,364.0,18.0,9/1/1997,Cartwheel,"['fiction', 'family']"
she's come undone,wally lamb,3.88,9780671021009,eng,465,294348,9096,6/28/1998,Pocket,She's Come Undone,Wally Lamb,3.88,eng,465.0,294348.0,9096.0,6/28/1998,Pocket,[]
we were the mulvaneys,joyce carol oates,3.73,9780452282827,eng,454,87367,2553,9/1/1997,Plume,We Were the Mulvaneys,Joyce Carol Oates,3.73,eng,454.0,87367.0,2553.0,9/1/1997,Plume,"['family', 'fiction', 'literature']"
a map of the world,jane hamilton/frank  muller/c.j. critt,3.81,9780385720106,en-GB,400,68554,1476,12/3/1999,Anchor Books,A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,3.81,en-GB,400.0,68554.0,1476.0,12/3/1999,Anchor Books,"['fiction', 'death']"
daughter of fortune,isabel allende/margaret sayers peden,3.91,9780060194918,eng,399,1005,95,10/6/1999,Harper,Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,3.91,eng,399.0,1005.0,95.0,10/6/1999,Harper,"['fiction', 'history', 'historical fiction', 'roman']"
the meanest thing to say,bill cosby/varnette p. honeywood/varnette hon eywood,3.54,9780590956161,eng,40,990,55,9/1/1997,Cartwheel,The Meanest Thing To Say,Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,3.54,eng,40.0,990.0,55.0,9/1/1997,Cartwheel,"['fiction', 'school stories']"
a fine balance,rohinton mistry,4.36,9781400030651,eng,603,112196,7546,11/30/2001,Vintage,A Fine Balance,Rohinton Mistry,4.36,eng,603.0,112196.0,7546.0,11/30/2001,Vintage,"['literary fiction', 'historical fiction', 'fiction', 'history', 'literature', 'historical']"
the best way to play: a little bill book,bill cosby/varnette p. honeywood/varnette honeywood,3.49,9780590956178,eng,40,405,17,9/1/1997,Cartwheel,The Best Way to Play: A Little Bill Book,Bill Cosby/Varnette P. Honeywood/Varnette Honeywood,3.49,eng,40.0,405.0,17.0,9/1/1997,Cartwheel,"['video games', 'fiction']"
white oleander,janet fitch,3.96,9780316284950,eng,480,3112,210,5/1/2000,Back Bay Books,White Oleander,Janet Fitch,3.96,eng,480.0,3112.0,210.0,5/1/2000,Back Bay Books,"['fiction', 'psychology', 'fantasy']"
cry  the beloved country,alan paton,3.9,9780743262170,eng,316,3140,383,11/1/2003,Scribner,Cry  the Beloved Country,Alan Paton,3.9,eng,316.0,3140.0,383.0,11/1/2003,Scribner,['fiction']
one hundred years of solitude,gabriel garcía márquez/gregory rabassa,4.07,9780060740450,eng,458,3437,316,1/20/2004,Harper Perennial,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,eng,458.0,3437.0,316.0,1/20/2004,Harper Perennial,"['fiction', 'fantasy', 'literature']"
song of solomon,toni morrison,4.06,9780452260115,en-US,337,1730,143,9/1/1987,Plume,Song of Solomon,Toni Morrison,4.06,en-US,337.0,1730.0,143.0,9/1/1987,Plume,"['fiction', 'family']"
the bluest eye,toni morrison,4.03,9780452282193,eng,216,3420,280,4/27/2000,Plume Books,The Bluest Eye,Toni Morrison,4.03,eng,216.0,3420.0,280.0,4/27/2000,Plume Books,"['coming of age', 'fiction', 'novels', 'literary fiction', 'literature', 'african american', 'historical fiction', 'drama']"
the poisonwood bible,barbara kingsolver,4.06,9780060930530,eng,546,5773,828,10/1/1999,Harper Perennial,The Poisonwood Bible,Barbara Kingsolver,4.06,eng,546.0,5773.0,828.0,10/1/1999,Harper Perennial,"['fiction', 'history', 'literature', 'family', 'historical fiction']"
vergeef me,wally lamb/inge de heer,4.18,9789022530078,nl,744,67,9,7/1/2001,De Boekerij,Vergeef me,Wally Lamb/Inge de Heer,4.18,nl,744.0,67.0,9.0,7/1/2001,De Boekerij,[]
the crusader: ronald reagan and the fall of communism,paul kengor,4.23,9780061136900,eng,432,179,14,10/17/2006,Harper,The Crusader: Ronald Reagan and the Fall of Communism,Paul Kengor,4.23,eng,432.0,179.0,14.0,10/17/2006,Harper,"['nonfiction', 'politics', 'history']"
ronald reagan: how an ordinary man became an extraordinary leader,dinesh d'souza,4.13,9780684848235,eng,304,1059,35,2/23/1999,Free Press,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,4.13,eng,304.0,1059.0,35.0,2/23/1999,Free Press,[]
ethan frome and summer,edith wharton/elizabeth strout,3.86,9780375757280,eng,274,483,54,5/8/2001,Modern Library,Ethan Frome and Summer,Edith Wharton/Elizabeth Strout,3.86,eng,274.0,483.0,54.0,5/8/2001,Modern Library,"['classic literature', 'fiction', 'love', 'marriage', 'poverty', 'romance', 'writing']"
collected stories  1891-1910,edith wharton/maureen howard,4.26,9781883011932,eng,928,56,8,1/29/2001,Library of America,Collected Stories  1891-1910,Edith Wharton/Maureen Howard,4.26,eng,928.0,56.0,8.0,1/29/2001,Library of America,[]
a backward glance,edith wharton/louis auchincloss,3.76,9780684847559,eng,385,521,77,7/15/1998,Scribner,A Backward Glance,Edith Wharton/Louis Auchincloss,3.76,eng,385.0,521.0,77.0,7/15/1998,Scribner,['biography']
the best short stories of edith wharton,edith wharton,3.77,9781417911837,eng,300,41,4,4/16/2004,Kessinger Publishing,The Best Short Stories of Edith Wharton,Edith Wharton,3.77,eng,300.0,41.0,4.0,4/16/2004,Kessinger Publishing,[]
complete works of oscar wilde,oscar wilde/merlin holland,4.45,9780007144358,eng,1270,11903,183,8/4/2003,HarperCollins Publishers,Complete Works of Oscar Wilde,Oscar Wilde/Merlin Holland,4.45,eng,1270.0,11903.0,183.0,8/4/2003,HarperCollins Publishers,[]
oscar wilde,richard ellmann,4.24,9780394759845,eng,736,2695,119,11/5/1988,Vintage,Oscar Wilde,Richard Ellmann,4.24,eng,736.0,2695.0,119.0,11/5/1988,Vintage,"['biography', 'literary criticism']"
an ideal husband,oscar wilde,4.04,9780486414232,eng,78,32946,895,2/5/2001,Dover Publications,An Ideal Husband,Oscar Wilde,4.04,eng,78.0,32946.0,895.0,2/5/2001,Dover Publications,"['drama', 'classic literature', 'fiction', 'psychology', 'english literature']"
the picture of dorian gray,oscar wilde/jeffrey eugenides,4.08,9780375751516,eng,272,760717,17179,6/1/2004,Random House: Modern Library,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,4.08,eng,272.0,760717.0,17179.0,6/1/2004,Random House: Modern Library,"['fiction', 'horror', 'education', 'english literature', 'classics', 'supernatural', 'history']"
de profundis and other writings,oscar wilde/hesketh pearson,4.21,9780140430899,eng,252,2298,91,8/26/1976,Penguin Books,De Profundis and Other Writings,Oscar Wilde/Hesketh Pearson,4.21,eng,252.0,2298.0,91.0,8/26/1976,Penguin Books,['poetry']
sense and sensuality: jesus talks to oscar wilde on the pursuit of pleasure (great conversations),ravi zacharias,3.95,9781590528600,en-US,94,545,52,6/1/2006,Multnomah Books,Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),Ravi Zacharias,3.95,en-US,94.0,545.0,52.0,6/1/2006,Multnomah Books,['fiction']
travels with charley: in search of america,john steinbeck,4.08,9780142000700,eng,214,56349,3738,2/5/2002,Penguin,Travels with Charley: In Search of America,John Steinbeck,4.08,eng,214.0,56349.0,3738.0,2/5/2002,Penguin,"['travel', 'biography', 'united states', 'fiction']"
novels and stories 1932–1937: the pastures of heaven / to a god unknown / tortilla flat / in dubious battle / of mice and men,john steinbeck/elaine steinbeck/robert demott,4.35,9781883011017,eng,909,371,25,9/1/1994,Library of America,Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck/Elaine Steinbeck/Robert DeMott,4.35,eng,909.0,371.0,25.0,9/1/1994,Library of America,"['classic literature', 'classics', 'fiction', 'historical fiction', 'literary fiction', 'literature']"
the pearl,john steinbeck,3.46,9780142000694,eng,96,160706,6198,1/8/2002,Penguin Books,The Pearl,John Steinbeck,3.46,eng,96.0,160706.0,6198.0,1/8/2002,Penguin Books,"['family', 'fiction', 'historical fiction']"
the life and times of scrooge mcduck,don rosa,4.67,9780911903966,eng,266,2467,149,6/1/2005,Gemstone Publishing,The Life and Times of Scrooge McDuck,Don Rosa,4.67,eng,266.0,2467.0,149.0,6/1/2005,Gemstone Publishing,[]
the life and times of scrooge mcduck companion,don rosa,4.48,9781888472400,eng,208,959,22,9/19/2006,Gemstone Publishing,The Life and Times of Scrooge McDuck Companion,Don Rosa,4.48,eng,208.0,959.0,22.0,9/19/2006,Gemstone Publishing,"['money', 'fiction']"
the last christmas of ebenezer scrooge,marvin kaye,4.13,9781592241330,eng,168,14,3,9/1/2004,Wildside Press,The Last Christmas of Ebenezer Scrooge,Marvin Kaye,4.13,eng,168.0,14.0,3.0,9/1/2004,Wildside Press,[]
uncle scrooge #359,don rosa/carl barks/lars jensen/pat mcgreal/carol mcgreal/frank jonker/romano scarpa/mau heymans/josé massaroli,3.88,9781888472424,eng,64,8,1,11/7/2006,Gemstone Publishing,Uncle Scrooge #359,Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli,3.88,eng,64.0,8.0,1.0,11/7/2006,Gemstone Publishing,"['money', 'fiction', 'graphic novels']"
a christmas story,jean shepherd,4.08,9780767916226,eng,144,3187,381,10/28/2003,Broadway Books,A Christmas Story,Jean Shepherd,4.08,eng,144.0,3187.0,381.0,10/28/2003,Broadway Books,['fiction']
my first story of christmas,tim dowley/roger langton,4.07,9780802417589,eng,24,10,1,9/1/2004,Moody Publishers,My First Story of Christmas,Tim Dowley/Roger Langton,4.07,eng,24.0,10.0,1.0,9/1/2004,Moody Publishers,[]
the christmas story,jane werner watson/eloise wilkin,4.43,9780307989130,en-US,24,1304,32,8/1/2000,Golden Books,The Christmas Story,Jane Werner Watson/Eloise Wilkin,4.43,en-US,24.0,1304.0,32.0,8/1/2000,Golden Books,['picture books']
a christmas carol,charles dickens/p.j. lynch,4.05,9780763631208,en-CA,160,4359,353,9/12/2006,Candlewick Press,A Christmas Carol,Charles Dickens/P.J. Lynch,4.05,en-CA,160.0,4359.0,353.0,9/12/2006,Candlewick Press,"['ghost stories', 'christmas', 'animals', 'fiction', 'history', 'ghosts', 'short stories', 'english literature', 'zombies', 'classics', 'family', 'art', 'classic literature', 'drama']"
a christmas carol,charles dickens,4.05,9781580495790,eng,112,6671,490,1/1/2012,Penguin Books,A Christmas Carol,Charles Dickens,4.05,eng,112.0,6671.0,490.0,1/1/2012,Penguin Books,"['ghost stories', 'christmas', 'animals', 'fiction', 'history', 'ghosts', 'short stories', 'english literature', 'zombies', 'classics', 'family', 'art', 'classic literature', 'drama']"
the annotated christmas carol,charles dickens/michael patrick hearn/john leech,4.05,9780393051582,eng,266,276,46,11/17/2004,W. W. Norton  Company,The Annotated Christmas Carol,Charles Dickens/Michael Patrick Hearn/John Leech,4.05,eng,266.0,276.0,46.0,11/17/2004,W. W. Norton  Company,"['ghost stories', 'christmas', 'animals', 'fiction', 'history', 'ghosts', 'short stories', 'english literature', 'zombies', 'classics', 'family', 'art', 'classic literature', 'drama']"
charles dickens' a christmas carol,jane parker resnick/christian birmingham,4.1,9780762408481,eng,56,58,6,10/11/2000,Running Press Kids,Charles Dickens' A Christmas Carol,Jane Parker Resnick/Christian Birmingham,4.1,eng,56.0,58.0,6.0,10/11/2000,Running Press Kids,"['christmas', 'drama', 'ghosts', 'plays', 'ghost stories', 'fiction', 'history', 'english literature']"
little dorrit,charles dickens/hablot knight browne/david gates,3.99,9780375759147,eng,1347,291,33,3/12/2002,Modern Library,Little Dorrit,Charles Dickens/Hablot Knight Browne/David Gates,3.99,eng,1347.0,291.0,33.0,3/12/2002,Modern Library,"['fiction', 'classic literature', 'english literature', 'literature']"
a christmas carol and other christmas writings,charles dickens/michael slater,4.14,9780140439052,eng,288,30393,449,10/30/2003,Penguin Classics,A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,4.14,eng,288.0,30393.0,449.0,10/30/2003,Penguin Classics,"['classic literature', 'fiction']"
the life of our lord: written for his children during the years 1846 to 1849,charles dickens,4.01,9780684865379,eng,128,1729,364,11/9/1999,Simon  Schuster,The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,4.01,eng,128.0,1729.0,364.0,11/9/1999,Simon  Schuster,"['christian', 'faith', 'biography']"
hard times,charles dickens,3.52,9780321107213,eng,353,41041,1706,10/19/2003,Pearson Longman,Hard Times,Charles Dickens,3.52,eng,353.0,41041.0,1706.0,10/19/2003,Pearson Longman,"['fiction', 'education', 'english literature', 'psychology', 'history', 'poverty']"
the innocent man: murder and injustice in a small town,john grisham,3.82,9780385517232,eng,360,52005,4136,10/10/2006,Doubleday Books,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.82,eng,360.0,52005.0,4136.0,10/10/2006,Doubleday Books,[]
the last juror,john grisham,3.87,9780385339681,eng,278,72294,1755,4/25/2006,Delta,The Last Juror,John Grisham,3.87,eng,278.0,72294.0,1755.0,4/25/2006,Delta,"['mystery', 'fiction', 'thriller', 'drama']"
the testament,john grisham/jorma-veikko sappinen,3.86,9780440234746,eng,535,89014,2361,12/28/1999,Island,The Testament,John Grisham/Jorma-Veikko Sappinen,3.86,eng,535.0,89014.0,2361.0,12/28/1999,Island,"['fiction', 'literature', 'roman']"
the rainmaker,john grisham,3.94,9780385339605,eng,419,151818,1489,9/27/2005,Delta,The Rainmaker,John Grisham,3.94,eng,419.0,151818.0,1489.0,9/27/2005,Delta,"['fiction', 'thriller', 'suspense']"
the partner,john grisham,3.92,9780385339100,eng,416,97474,1928,4/26/2005,Delta,The Partner,John Grisham,3.92,eng,416.0,97474.0,1928.0,4/26/2005,Delta,"['fiction', 'literature', 'mystery']"
the street lawyer,john grisham,3.83,9780385339094,eng,384,89947,1813,4/26/2005,Bantam,The Street Lawyer,John Grisham,3.83,eng,384.0,89947.0,1813.0,4/26/2005,Bantam,"['fiction', 'literature', 'mystery', 'suspense']"
the summons,john grisham,3.69,9780385339599,eng,384,58901,1642,9/27/2005,Delta,The Summons,John Grisham,3.69,eng,384.0,58901.0,1642.0,9/27/2005,Delta,"['mystery', 'fiction', 'suspense']"
the brethren,john grisham,3.73,9780385339674,eng,384,76085,1505,12/27/2005,Delta,The Brethren,John Grisham,3.73,eng,384.0,76085.0,1505.0,12/27/2005,Delta,['fiction']
the king of torts,john grisham,3.68,9780385339650,eng,276,68098,1705,12/27/2005,Delta,The King of Torts,John Grisham,3.68,eng,276.0,68098.0,1705.0,12/27/2005,Delta,"['fiction', 'suspense', 'thriller']"
skipping christmas,john grisham,3.49,9780099481683,eng,198,46334,3399,11/6/2004,Arrow,Skipping Christmas,John Grisham,3.49,eng,198.0,46334.0,3399.0,11/6/2004,Arrow,"['christian fiction', 'christmas', 'fiction']"
the firm,robin waterfield/john grisham,4.01,9780582418271,eng,76,540910,3378,2/15/2000,Addison Wesley Publishing Company,The Firm,Robin Waterfield/John Grisham,4.01,eng,76.0,540910.0,3378.0,2/15/2000,Addison Wesley Publishing Company,['fiction']
the client,john grisham,4.0,9780385339087,eng,483,367399,1978,3/16/2010,Delta,The Client,John Grisham,4.0,eng,483.0,367399.0,1978.0,3/16/2010,Delta,"['legal thriller', 'fiction', 'mystery', 'suspense', 'islam']"
a painted house,john grisham,3.7,9780385337939,eng,384,67857,3375,2/3/2004,Bantam,A Painted House,John Grisham,3.7,eng,384.0,67857.0,3375.0,2/3/2004,Bantam,['fiction']
the summons / the brethren,john grisham/michael beck/frank  muller,3.99,9780739342770,eng,0,241,9,10/10/2006,Random House Audio,The Summons / The Brethren,John Grisham/Michael Beck/Frank  Muller,3.99,eng,0.0,241.0,9.0,10/10/2006,Random House Audio,[]
dragonfly in amber (outlander  #2),diana gabaldon,4.32,9780385335973,eng,743,222140,11121,8/7/2001,Bantam,Dragonfly in Amber (Outlander  #2),Diana Gabaldon,4.32,eng,743.0,222140.0,11121.0,8/7/2001,Bantam,"['historical fiction', 'fiction', 'time travel', 'scotland', 'romance', 'fantasy', 'historical', 'history', 'science fiction']"
forever amber,kathleen winsor,3.99,9780141009827,eng,972,14409,849,7/25/2002,Penguin,Forever Amber,Kathleen Winsor,3.99,eng,972.0,14409.0,849.0,7/25/2002,Penguin,"['fiction', 'history', 'historical romance', 'biography']"
amber brown is green with envy,paula danziger/tony ross,3.95,9780439071710,en-GB,160,834,42,8/1/2004,Scholastic,Amber Brown Is Green With Envy,Paula Danziger/Tony Ross,3.95,en-GB,160.0,834.0,42.0,8/1/2004,Scholastic,"['family', 'divorce', 'fiction']"
amber brown is not a crayon,paula danziger/tony ross,3.84,9780142406199,eng,96,4787,189,9/7/2006,Puffin Books,Amber Brown Is Not a Crayon,Paula Danziger/Tony Ross,3.84,eng,96.0,4787.0,189.0,9/7/2006,Puffin Books,"['fiction', 'school stories']"
amber and ashes (dragonlance: the dark disciple  #1),margaret weis,3.87,9780786937424,eng,336,2637,64,7/1/2005,Wizards of the Coast,Amber and Ashes (Dragonlance: The Dark Disciple  #1),Margaret Weis,3.87,eng,336.0,2637.0,64.0,7/1/2005,Wizards of the Coast,"['fiction', 'fantasy', 'elves']"
the waste lands (the dark tower  #3),stephen king/ned dameron,4.24,9780747411871,eng,509,76,5,11/12/1992,Time Warner Paperbacks,The Waste Lands (The Dark Tower  #3),Stephen King/Ned Dameron,4.24,eng,509.0,76.0,5.0,11/12/1992,Time Warner Paperbacks,"['supernatural', 'dark fantasy', 'artificial intelligence', 'fiction', 'fantasy', 'time travel', 'magic', 'romance']"
the dragon's eye (dragonology chronicles  #1),dugald a. steer/douglas carrel,3.82,9780763628109,eng,221,2221,113,11/14/2006,Candlewick Press,The Dragon's Eye (Dragonology Chronicles  #1),Dugald A. Steer/Douglas Carrel,3.82,eng,221.0,2221.0,113.0,11/14/2006,Candlewick Press,[]
the dragon's eye (erec rex  #1),kaza kingsley/melvyn grant,4.0,9780978655563,eng,341,59,8,10/1/2006,Firelight Press,The Dragon's Eye (Erec Rex  #1),Kaza Kingsley/Melvyn Grant,4.0,eng,341.0,59.0,8.0,10/1/2006,Firelight Press,[]
dragon's eye (stonefort  #1),james a. hetley,3.43,9780441013722,en-US,368,133,16,10/31/2006,Ace,Dragon's Eye (Stonefort  #1),James A. Hetley,3.43,en-US,368.0,133.0,16.0,10/31/2006,Ace,['fiction']
dragon's eye,christopher stasheff/william r. forstchen/nick dichario/s.n. lewitt/bill fawcett/mike resnick/mickey zucker reichert/s.m. stirling/diane duane/jody lynn nye/roland j. green/teresa patterson/judith r. conly,3.51,9780671876098,en-GB,279,41,7,7/1/1994,Baen Books,Dragon's Eye,Christopher Stasheff/William R. Forstchen/Nick DiChario/S.N. Lewitt/Bill Fawcett/Mike Resnick/Mickey Zucker Reichert/S.M. Stirling/Diane Duane/Jody Lynn Nye/Roland J. Green/Teresa Patterson/Judith R. Conly,3.51,en-GB,279.0,41.0,7.0,7/1/1994,Baen Books,"['dragons', 'fiction']"
"stand back  said the elephant  ""i'm going to sneeze!""",patricia thomas/wallace tripp,4.39,9780688093389,eng,32,1004,130,4/23/1990,William Morrow & Company  Inc.,"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",Patricia Thomas/Wallace Tripp,4.39,eng,32.0,1004.0,130.0,4/23/1990,William Morrow & Company  Inc.,"['animals', 'fiction']"
here i stand: a life of martin luther,roland h. bainton,4.08,9780452011465,eng,336,2841,224,4/1/1995,Plume Books,Here I Stand: A Life of Martin Luther,Roland H. Bainton,4.08,eng,336.0,2841.0,224.0,4/1/1995,Plume Books,['biography']
the stand: das letzte gefecht,stephen king/joachim körber,4.34,9783404134113,ger,1227,256,16,9/1/2003,Bastei Lübbe,The Stand: Das letzte Gefecht,Stephen King/Joachim Körber,4.34,ger,1227.0,256.0,16.0,9/1/2003,Bastei Lübbe,"['research', 'fiction', 'suspense', 'horror', 'science fiction', 'survival', 'thriller']"
'salem's lot,stephen king/jerry n. uelsmann,4.25,9780385516488,eng,594,84123,571,11/1/2005,Doubleday,'Salem's Lot,Stephen King/Jerry N. Uelsmann,4.25,eng,594.0,84123.0,571.0,11/1/2005,Doubleday,"['fiction', 'vampires', 'short stories', 'occult', 'witchcraft', 'cults']"
'salem's lot,stephen king/ron mclarty,4.02,9780743536967,eng,17,227,54,1/19/2004,Simon & Schuster Audio,'Salem's Lot,Stephen King/Ron McLarty,4.02,eng,17.0,227.0,54.0,1/19/2004,Simon & Schuster Audio,"['fiction', 'vampires', 'short stories', 'occult', 'witchcraft', 'cults']"
'salem's lot,stephen king,4.02,9780965772419,eng,405,1039,130,10/17/1975,Doubleday,'Salem's Lot,Stephen King,4.02,eng,405.0,1039.0,130.0,10/17/1975,Doubleday,"['fiction', 'vampires', 'short stories', 'occult', 'witchcraft', 'cults']"
carrie / 'salem's lot / the shining,stephen king,4.54,9780517219027,eng,1096,13137,61,7/2/2002,Wings,Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,eng,1096.0,13137.0,61.0,7/2/2002,Wings,"['fiction', 'horror']"
orientalism,edward w. said,4.08,9780141187426,eng,396,873,77,8/28/2003,Penguin Classics,Orientalism,Edward W. Said,4.08,eng,396.0,873.0,77.0,8/28/2003,Penguin Classics,['history']
